"","Basis","Correlation","Kendall"
"cor","G",0.252883373438315,0.343753880481373
"cor1","GBC",0.187608799103761,0.208188613255543
"cor2","GE",0.237023129561135,0.429279691110251
"cor3","GEB",0.187608799103761,0.208188613255543
"cor4","GEBC",0.187884563360433,0.240041922434904
"cor5","GEC",0.187608799103761,0.208188613255543
"cor6","GEM",0.187608799103761,0.208188613255543
"cor7","GEMBC",0.186023507486845,0.240041922434904
"cor8","GEMC",0.187889119016283,0.240041922434904
"cor9","GET",0.187608799103761,0.208188613255543
"cor10","GETB",0.187884563360433,0.240041922434904
"cor11","GETBC",0.186331322552791,0.240041922434904
"cor12","GETC",0.187884563360433,0.240041922434904
"cor13","GETM",0.187889119016283,0.240041922434904
"cor14","GETMB",0.186023507486845,0.240041922434904
"cor15","GETMBC",0.158112472134162,0.240041922434904
"cor16","GETMC",0.186023507486845,0.240041922434904
"cor17","GM",0.215011268511026,0.343753880481373
"cor18","GMB",0.187608799103761,0.208188613255543
"cor19","GMBC",0.187889119016283,0.240041922434904
"cor20","GMC",0.187608799103761,0.208188613255543
"cor21","GT",0.237023129561135,0.429279691110251
"cor22","GTB",0.187608799103761,0.208188613255543
"cor23","GTBC",0.187884563360433,0.240041922434904
"cor24","GTC",0.187608799103761,0.208188613255543
"cor25","GTM",0.187608799103761,0.208188613255543
"cor26","GTMBC",0.186023507486845,0.240041922434904
"cor27","GTMC",0.187889119016283,0.240041922434904
"cor28","H",0.0648916217623275,0.194532954440221
"cor29","HB",0.250838245468074,0.339165326148525
"cor30","HGB",0.249341281675409,0.222058882319026
"cor31","HGBC",0.281574412662777,0.214864011780592
"cor32","HGC",0.249410360245369,0.214720422314454
"cor33","HGE",0.249320247629148,0.209494026367584
"cor34","HGEB",0.281434923565965,0.213760644224165
"cor35","HGEBC",0.306842260912935,0.234752950340293
"cor36","HGEC",0.281560914499387,0.210885436802361
"cor37","HGEM",0.283798345977175,0.226920973946855
"cor38","HGEMB",0.309038039814532,0.233674916332264
"cor39","HGEMC",0.308877070277227,0.230828325192121
"cor40","HGET",0.281417826939647,0.226920973946855
"cor41","HGETB",0.307056140344591,0.233674916332264
"cor42","HGETC",0.306904729828445,0.230828325192121
"cor43","HGETM",0.309143742653861,0.247630266714821
"cor44","HGM",0.254741603453077,0.209494026367584
"cor45","HGMB",0.283813054287941,0.213760644224165
"cor46","HGMBC",0.308811882489113,0.234752950340293
"cor47","HGMC",0.283935943933571,0.210885436802361
"cor48","HGT",0.249320247629148,0.209494026367584
