generalization,condition,answer,sump,probability
 a a,0, a,,0.9756097561
 a a,0, b,,0.0243902439
 a a,0, c,,0
 a a,0, d,,0
 a b,0, a,,0.4146341463
 a b,0, b,,0.5853658537
 a b,0, c,,0
 a b,0, d,,0
 a c,0, a,,NA
 a c,0, b,,NA
 a c,0, c,,NA
 a c,0, d,,NA
 b a,0, a,,0.4390243902
 b a,0, b,,0.5609756098
 b a,0, c,,0
 b a,0, d,,0
 b b,0, a,,0.0731707317
 b b,0, b,,0.9268292683
 b b,0, c,,0
 b b,0, d,,0
 b c,0, a,,NA
 b c,0, b,,NA
 b c,0, c,,NA
 b c,0, d,,NA
 c a,0, a,,NA
 c a,0, b,,NA
 c a,0, c,,NA
 c a,0, d,,NA
 c b,0, a,,NA
 c b,0, b,,NA
 c b,0, c,,NA
 c b,0, d,,NA
 a a,1, a,,0.0816326531
 a a,1, b,,0.8367346939
 a a,1, c,,0.0816326531
 a a,1, d,,0
 a b,1, a,,0.2653061224
 a b,1, b,,0.1428571429
 a b,1, c,,0.5918367347
 a b,1, d,,0
 a c,1, a,,0.1836734694
 a c,1, b,,0.612244898
 a c,1, c,,0.2040816327
 a c,1, d,,0
 b a,1, a,,0.2244897959
 b a,1, b,,0.1428571429
 b a,1, c,,0.6326530612
 b a,1, d,,0
 b b,1, a,,0.25
 b b,1, b,,0.3541666667
 b b,1, c,,0.3958333333
 b b,1, d,,0
 b c,1, a,,0.693877551
 b c,1, b,,0.1632653061
 b c,1, c,,0.1428571429
 b c,1, d,,0
 c a,1, a,,0.0833333333
 c a,1, b,,0.6458333333
 c a,1, c,,0.2708333333
 c a,1, d,,0
 c b,1, a,,0.6666666667
 c b,1, b,,0.1041666667
 c b,1, c,,0.2291666667
 c b,1, d,,0
 a a,2, a,,0.6666666667
 a a,2, b,,0.25
 a a,2, c,,0.0833333333
 a a,2, d,,0
 a b,2, a,,0.75
 a b,2, b,,0.0416666667
 a b,2, c,,0.2083333333
 a b,2, d,,0
 a c,2, a,,0.5416666667
 a c,2, b,,0.3125
 a c,2, c,,0.1458333333
 a c,2, d,,0
 b a,2, a,,0.3958333333
 b a,2, b,,0.4583333333
 b a,2, c,,0.1458333333
 b a,2, d,,0
 b b,2, a,,0.1875
 b b,2, b,,0.6875
 b b,2, c,,0.125
 b b,2, d,,0
 b c,2, a,,0.2083333333
 b c,2, b,,0.5208333333
 b c,2, c,,0.2708333333
 b c,2, d,,0
 c a,2, a,,0.2708333333
 c a,2, b,,0.3541666667
 c a,2, c,,0.375
 c a,2, d,,0
 c b,2, a,,0.2291666667
 c b,2, b,,0.1458333333
 c b,2, c,,0.625
 c b,2, d,,0
 a a,3, a,,0.8260869565
 a a,3, b,,0.1304347826
 a a,3, c,,0.0434782609
 a a,3, d,,0
 a b,3, a,,0.0434782609
 a b,3, b,,0.7826086957
 a b,3, c,,0.1739130435
 a b,3, d,,0
 a c,3, a,,0.152173913
 a c,3, b,,0.2391304348
 a c,3, c,,0.6086956522
 a c,3, d,,0
 b a,3, a,,0.1086956522
 b a,3, b,,0.7391304348
 b a,3, c,,0.152173913
 b a,3, d,,0
 b b,3, a,,0.1956521739
 b b,3, b,,0.7608695652
 b b,3, c,,0.0434782609
 b b,3, d,,0
 b c,3, a,,0.3695652174
 b c,3, b,,0.347826087
 b c,3, c,,0.2826086957
 b c,3, d,,0
 c a,3, a,,0.347826087
 c a,3, b,,0.2391304348
 c a,3, c,,0.4130434783
 c a,3, d,,0
 c b,3, a,,0.3913043478
 c b,3, b,,0.5
 c b,3, c,,0.1086956522
 c b,3, d,,0
 a a,4, a,,0.6666666667
 a a,4, b,,0.1041666667
 a a,4, c,,0
 a a,4, d,,0.2291666667
 a b,4, a,,0
 a b,4, b,,0
 a b,4, c,,0.9591836735
 a b,4, d,,0.0408163265
 a c,4, a,,0
 a c,4, b,,0.6666666667
 a c,4, c,,0
 a c,4, d,,0.3333333333
 b a,4, a,,0.0208333333
 b a,4, b,,0
 b a,4, c,,0.875
 b a,4, d,,0.1041666667
 b b,4, a,,0.1020408163
 b b,4, b,,0.6326530612
 b b,4, c,,0.0408163265
 b b,4, d,,0.2244897959
 b c,4, a,,0.693877551
 b c,4, b,,0.0408163265
 b c,4, c,,0
 b c,4, d,,0.2653061224
 c a,4, a,,0.0208333333
 c a,4, b,,0.75
 c a,4, c,,0.0208333333
 c a,4, d,,0.2083333333
 c b,4, a,,0.6041666667
 c b,4, b,,0
 c b,4, c,,0.0416666667
 c b,4, d,,0.3541666667
