condition nsolution basis generalization length runtime answer
# Starting on: SKH
# Increasing depth to 0
# Increasing depth to 1
# Increasing depth to 2
# Increasing depth to 3
0 0 SKH aa 22 12 'a'
0 0 SKH ab 22 12 'b'
0 0 SKH ac 22 12 'b'
0 0 SKH ba 22 12 'c'
0 0 SKH bb 22 12 'c'
0 0 SKH bc 22 12 'c'
0 0 SKH ca 22 12 'c'
0 0 SKH cb 22 12 'c'
0 0 SKH cc 22 12 'c'
0 1 SKH aa 22 12 'a'
0 1 SKH ab 22 12 'b'
0 1 SKH ac 22 12 'b'
0 1 SKH ba 22 12 'c'
0 1 SKH bb 22 12 'c'
0 1 SKH bc 22 12 'c'
0 1 SKH ca 22 12 'c'
0 1 SKH cb 22 12 'c'
0 1 SKH cc 22 12 'c'
0 2 SKH aa 22 12 'a'
0 2 SKH ab 22 12 'b'
0 2 SKH ac 22 12 'b'
0 2 SKH ba 22 12 'c'
0 2 SKH bb 22 12 'c'
0 2 SKH bc 22 12 'c'
0 2 SKH ca 22 12 'c'
0 2 SKH cb 22 12 'c'
0 2 SKH cc 22 12 'c'
0 3 SKH aa 22 12 'a'
0 3 SKH ab 22 12 'b'
0 3 SKH ac 22 12 'b'
0 3 SKH ba 22 12 'c'
0 3 SKH bb 22 12 'c'
0 3 SKH bc 22 12 'c'
0 3 SKH ca 22 12 'c'
0 3 SKH cb 22 12 'c'
0 3 SKH cc 22 12 'c'
0 4 SKH aa 22 12 'a'
0 4 SKH ab 22 12 'b'
0 4 SKH ac 22 12 'b'
0 4 SKH ba 22 12 'c'
0 4 SKH bb 22 12 'c'
0 4 SKH bc 22 12 'c'
0 4 SKH ca 22 12 'c'
0 4 SKH cb 22 12 'c'
0 4 SKH cc 22 12 'c'
0 5 SKH aa 22 12 'a'
0 5 SKH ab 22 12 'b'
0 5 SKH ac 22 12 'b'
0 5 SKH ba 22 12 'c'
0 5 SKH bb 22 12 'c'
0 5 SKH bc 22 12 'c'
0 5 SKH ca 22 12 'c'
0 5 SKH cb 22 12 'c'
0 5 SKH cc 22 12 'c'
0 6 SKH aa 22 12 'a'
0 6 SKH ab 22 12 'b'
0 6 SKH ac 22 12 'b'
0 6 SKH ba 22 12 'c'
0 6 SKH bb 22 12 'c'
0 6 SKH bc 22 12 'c'
0 6 SKH ca 22 12 'c'
0 6 SKH cb 22 12 'c'
0 6 SKH cc 22 12 'c'
0 7 SKH aa 22 12 'a'
0 7 SKH ab 22 12 'b'
0 7 SKH ac 22 12 'b'
0 7 SKH ba 22 12 'c'
0 7 SKH bb 22 12 'c'
0 7 SKH bc 22 12 'c'
0 7 SKH ca 22 12 'c'
0 7 SKH cb 22 12 'c'
0 7 SKH cc 22 12 'c'
0 8 SKH aa 22 12 'a'
0 8 SKH ab 22 12 'b'
0 8 SKH ac 22 12 'b'
0 8 SKH ba 22 12 'c'
0 8 SKH bb 22 12 'c'
0 8 SKH bc 22 12 'c'
0 8 SKH ca 22 12 'c'
0 8 SKH cb 22 12 'c'
0 8 SKH cc 22 12 'c'
0 9 SKH aa 22 12 'a'
0 9 SKH ab 22 12 'b'
0 9 SKH ac 22 12 'b'
0 9 SKH ba 22 12 'c'
0 9 SKH bb 22 12 'c'
0 9 SKH bc 22 12 'c'
0 9 SKH ca 22 12 'c'
0 9 SKH cb 22 12 'c'
0 9 SKH cc 22 12 'c'
0 10 SKH aa 22 12 'a'
0 10 SKH ab 22 12 'b'
0 10 SKH ac 22 12 'b'
0 10 SKH ba 22 12 'c'
0 10 SKH bb 22 12 'c'
0 10 SKH bc 22 12 'c'
0 10 SKH ca 22 12 'c'
0 10 SKH cb 22 12 'c'
0 10 SKH cc 22 12 'c'
0 11 SKH aa 22 12 'a'
0 11 SKH ab 22 12 'b'
0 11 SKH ac 22 12 'b'
0 11 SKH ba 22 12 'c'
0 11 SKH bb 22 12 'c'
0 11 SKH bc 22 12 'c'
0 11 SKH ca 22 12 'c'
0 11 SKH cb 22 12 'c'
0 11 SKH cc 22 12 'c'
0 12 SKH aa 22 12 'a'
0 12 SKH ab 22 12 'b'
0 12 SKH ac 22 12 'b'
0 12 SKH ba 22 12 'c'
0 12 SKH bb 22 12 'c'
0 12 SKH bc 22 12 'c'
0 12 SKH ca 22 12 'c'
0 12 SKH cb 22 12 'c'
0 12 SKH cc 22 12 'c'
0 13 SKH aa 22 12 'a'
0 13 SKH ab 22 12 'b'
0 13 SKH ac 22 12 'b'
