condition nsolution basis generalization length runtime answer
# Starting on: SKHI
# Increasing depth to 0
# Increasing depth to 1
# Increasing depth to 2
# Increasing depth to 3
0 0 SKHI aa 20 12 'a'
0 0 SKHI ab 20 12 'b'
0 0 SKHI ac 20 12 'b'
0 0 SKHI ba 20 12 'c'
0 0 SKHI bb 20 12 'c'
0 0 SKHI bc 20 12 'c'
0 0 SKHI ca 20 12 'c'
0 0 SKHI cb 20 12 'c'
0 0 SKHI cc 20 12 'c'
0 1 SKHI aa 20 12 'a'
0 1 SKHI ab 20 12 'b'
0 1 SKHI ac 20 12 'b'
0 1 SKHI ba 20 12 'c'
0 1 SKHI bb 20 12 'c'
0 1 SKHI bc 20 12 'c'
0 1 SKHI ca 20 12 'c'
0 1 SKHI cb 20 12 'c'
0 1 SKHI cc 20 12 'c'
0 2 SKHI aa 20 12 'a'
0 2 SKHI ab 20 12 'b'
0 2 SKHI ac 20 12 'b'
0 2 SKHI ba 20 12 'c'
0 2 SKHI bb 20 12 'c'
0 2 SKHI bc 20 12 'c'
0 2 SKHI ca 20 12 'c'
0 2 SKHI cb 20 12 'c'
0 2 SKHI cc 20 12 'c'
0 3 SKHI aa 20 12 'a'
0 3 SKHI ab 20 12 'b'
0 3 SKHI ac 20 12 'b'
0 3 SKHI ba 20 12 'c'
0 3 SKHI bb 20 12 'c'
0 3 SKHI bc 20 12 'c'
0 3 SKHI ca 20 12 'c'
0 3 SKHI cb 20 12 'c'
0 3 SKHI cc 20 12 'c'
0 4 SKHI aa 20 12 'a'
0 4 SKHI ab 20 12 'b'
0 4 SKHI ac 20 12 'b'
0 4 SKHI ba 20 12 'c'
0 4 SKHI bb 20 12 'c'
0 4 SKHI bc 20 12 'c'
0 4 SKHI ca 20 12 'c'
0 4 SKHI cb 20 12 'c'
0 4 SKHI cc 20 12 'c'
0 5 SKHI aa 20 12 'a'
0 5 SKHI ab 20 12 'b'
0 5 SKHI ac 20 12 'b'
0 5 SKHI ba 20 12 'c'
0 5 SKHI bb 20 12 'c'
0 5 SKHI bc 20 12 'c'
0 5 SKHI ca 20 12 'c'
0 5 SKHI cb 20 12 'c'
0 5 SKHI cc 20 12 'c'
0 6 SKHI aa 20 12 'a'
0 6 SKHI ab 20 12 'b'
0 6 SKHI ac 20 12 'b'
0 6 SKHI ba 20 12 'c'
0 6 SKHI bb 20 12 'c'
0 6 SKHI bc 20 12 'c'
0 6 SKHI ca 20 12 'c'
0 6 SKHI cb 20 12 'c'
0 6 SKHI cc 20 12 'c'
0 7 SKHI aa 20 12 'a'
0 7 SKHI ab 20 12 'b'
0 7 SKHI ac 20 12 'b'
0 7 SKHI ba 20 12 'c'
0 7 SKHI bb 20 12 'c'
0 7 SKHI bc 20 12 'c'
0 7 SKHI ca 20 12 'c'
0 7 SKHI cb 20 12 'c'
0 7 SKHI cc 20 12 'c'
0 8 SKHI aa 20 12 'a'
0 8 SKHI ab 20 12 'b'
0 8 SKHI ac 20 12 'b'
0 8 SKHI ba 20 12 'c'
0 8 SKHI bb 20 12 'c'
0 8 SKHI bc 20 12 'c'
0 8 SKHI ca 20 12 'c'
0 8 SKHI cb 20 12 'c'
0 8 SKHI cc 20 12 'c'
0 9 SKHI aa 20 12 'a'
0 9 SKHI ab 20 12 'b'
0 9 SKHI ac 20 12 'b'
0 9 SKHI ba 20 12 'c'
0 9 SKHI bb 20 12 'c'
0 9 SKHI bc 20 12 'c'
0 9 SKHI ca 20 12 'c'
0 9 SKHI cb 20 12 'c'
0 9 SKHI cc 20 12 'c'
0 10 SKHI aa 20 12 'a'
0 10 SKHI ab 20 12 'b'
0 10 SKHI ac 20 12 'b'
0 10 SKHI ba 20 12 'c'
0 10 SKHI bb 20 12 'c'
0 10 SKHI bc 20 12 'c'
0 10 SKHI ca 20 12 'c'
0 10 SKHI cb 20 12 'c'
0 10 SKHI cc 20 12 'c'
0 11 SKHI aa 20 12 'a'
0 11 SKHI ab 20 12 'b'
0 11 SKHI ac 20 12 'b'
0 11 SKHI ba 20 12 'c'
0 11 SKHI bb 20 12 'c'
0 11 SKHI bc 20 12 'c'
0 11 SKHI ca 20 12 'c'
0 11 SKHI cb 20 12 'c'
0 11 SKHI cc 20 12 'c'
0 12 SKHI aa 20 12 'a'
0 12 SKHI ab 20 12 'b'
0 12 SKHI ac 20 12 'b'
0 12 SKHI ba 20 12 'c'
0 12 SKHI bb 20 12 'c'
0 12 SKHI bc 20 12 'c'
0 12 SKHI ca 20 12 'c'
0 12 SKHI cb 20 12 'c'
0 12 SKHI cc 20 12 'c'
0 13 SKHI aa 20 12 'a'
0 13 SKHI ab 20 12 'b'
0 13 SKHI ac 20 12 'b'
0 13 SKHI ba 20 12 'c'
0 13 SKHI bb 20 12 'c'
0 13 SKHI bc 20 12 'c'
0 13 SKHI ca 20 12 'c'
0 13 SKHI cb 20 12 'c'
0 13 SKHI cc 20 12 'c'
0 14 SKHI aa 20 12 'a'
0 14 SKHI ab 20 12 'b'
0 14 SKHI ac 20 12 'b'
0 14 SKHI ba 20 12 'c'
0 14 SKHI bb 20 12 'c'
0 14 SKHI bc 20 12 'c'
0 14 SKHI ca 20 12 'c'
0 14 SKHI cb 20 12 'c'
0 14 SKHI cc 20 12 'c'
0 15 SKHI aa 20 12 'a'
0 15 SKHI ab 20 12 'b'
0 15 SKHI ac 20 12 'b'
0 15 SKHI ba 20 12 'c'
0 15 SKHI bb 20 12 'c'
0 15 SKHI bc 20 12 'c'
0 15 SKHI ca 20 12 'c'
0 15 SKHI cb 20 12 'c'
0 15 SKHI cc 20 12 'c'
0 16 SKHI aa 20 12 'a'
0 16 SKHI ab 20 12 'b'
0 16 SKHI ac 20 12 'b'
0 16 SKHI ba 20 12 'c'
0 16 SKHI bb 20 12 'c'
0 16 SKHI bc 20 12 'c'
0 16 SKHI ca 20 12 'c'
0 16 SKHI cb 20 12 'c'
0 16 SKHI cc 20 12 'c'
0 17 SKHI aa 20 12 'a'
0 17 SKHI ab 20 12 'b'
0 17 SKHI ac 20 12 'b'
0 17 SKHI ba 20 12 'c'
0 17 SKHI bb 20 12 'c'
0 17 SKHI bc 20 12 'c'
0 17 SKHI ca 20 12 'c'
0 17 SKHI cb 20 12 'c'
0 17 SKHI cc 20 12 'c'
0 18 SKHI aa 20 12 'a'
0 18 SKHI ab 20 12 'b'
0 18 SKHI ac 20 12 'b'
0 18 SKHI ba 20 12 'c'
0 18 SKHI bb 20 12 'c'
0 18 SKHI bc 20 12 'c'
0 18 SKHI ca 20 12 'c'
0 18 SKHI cb 20 12 'c'
0 18 SKHI cc 20 12 'c'
0 19 SKHI aa 20 12 'a'
0 19 SKHI ab 20 12 'b'
0 19 SKHI ac 20 12 'b'
0 19 SKHI ba 20 12 'c'
0 19 SKHI bb 20 12 'c'
0 19 SKHI bc 20 12 'c'
0 19 SKHI ca 20 12 'c'
0 19 SKHI cb 20 12 'c'
0 19 SKHI cc 20 12 'c'
0 20 SKHI aa 20 12 'a'
0 20 SKHI ab 20 12 'b'
0 20 SKHI ac 20 12 'b'
0 20 SKHI ba 20 12 'c'
0 20 SKHI bb 20 12 'c'
0 20 SKHI bc 20 12 'c'
0 20 SKHI ca 20 12 'c'
0 20 SKHI cb 20 12 'c'
0 20 SKHI cc 20 12 'c'
0 21 SKHI aa 20 12 'a'
0 21 SKHI ab 20 12 'b'
0 21 SKHI ac 20 12 'b'
0 21 SKHI ba 20 12 'c'
0 21 SKHI bb 20 12 'c'
0 21 SKHI bc 20 12 'c'
0 21 SKHI ca 20 12 'c'
0 21 SKHI cb 20 12 'c'
0 21 SKHI cc 20 12 'c'
0 22 SKHI aa 20 12 'a'
0 22 SKHI ab 20 12 'b'
0 22 SKHI ac 20 12 'b'
0 22 SKHI ba 20 12 'c'
0 22 SKHI bb 20 12 'c'
0 22 SKHI bc 20 12 'c'
0 22 SKHI ca 20 12 'c'
0 22 SKHI cb 20 12 'c'
0 22 SKHI cc 20 12 'c'
0 23 SKHI aa 20 12 'a'
0 23 SKHI ab 20 12 'b'
0 23 SKHI ac 20 12 'b'
0 23 SKHI ba 20 12 'c'
0 23 SKHI bb 20 12 'c'
0 23 SKHI bc 20 12 'c'
0 23 SKHI ca 20 12 'c'
0 23 SKHI cb 20 12 'c'
0 23 SKHI cc 20 12 'c'
0 24 SKHI aa 20 12 'a'
0 24 SKHI ab 20 12 'b'
0 24 SKHI ac 20 12 'b'
0 24 SKHI ba 20 12 'c'
0 24 SKHI bb 20 12 'c'
0 24 SKHI bc 20 12 'c'
