condition nsolution basis generalization length runtime answer
# Starting on: SKHIE
# Increasing depth to 0
# Increasing depth to 1
# Increasing depth to 2
# Increasing depth to 3
0 0 SKHIE aa 20 12 'a'
0 0 SKHIE ab 20 12 'b'
0 0 SKHIE ac 20 12 'b'
0 0 SKHIE ba 20 12 'c'
0 0 SKHIE bb 20 12 'c'
0 0 SKHIE bc 20 12 'c'
0 0 SKHIE ca 20 12 'c'
0 0 SKHIE cb 20 12 'c'
0 0 SKHIE cc 20 12 'c'
0 1 SKHIE aa 20 12 'a'
0 1 SKHIE ab 20 12 'b'
0 1 SKHIE ac 20 12 'b'
0 1 SKHIE ba 20 12 'c'
0 1 SKHIE bb 20 12 'c'
0 1 SKHIE bc 20 12 'c'
0 1 SKHIE ca 20 12 'c'
0 1 SKHIE cb 20 12 'c'
0 1 SKHIE cc 20 12 'c'
0 2 SKHIE aa 20 12 'a'
0 2 SKHIE ab 20 12 'b'
0 2 SKHIE ac 20 12 'b'
0 2 SKHIE ba 20 12 'c'
0 2 SKHIE bb 20 12 'c'
0 2 SKHIE bc 20 12 'c'
0 2 SKHIE ca 20 12 'c'
0 2 SKHIE cb 20 12 'c'
0 2 SKHIE cc 20 12 'c'
0 3 SKHIE aa 20 12 'a'
0 3 SKHIE ab 20 12 'b'
0 3 SKHIE ac 20 12 'b'
0 3 SKHIE ba 20 12 'c'
0 3 SKHIE bb 20 12 'c'
0 3 SKHIE bc 20 12 'c'
0 3 SKHIE ca 20 12 'c'
0 3 SKHIE cb 20 12 'c'
0 3 SKHIE cc 20 12 'c'
0 4 SKHIE aa 20 12 'a'
0 4 SKHIE ab 20 12 'b'
0 4 SKHIE ac 20 12 'b'
0 4 SKHIE ba 20 12 'c'
0 4 SKHIE bb 20 12 'c'
0 4 SKHIE bc 20 12 'c'
0 4 SKHIE ca 20 12 'c'
0 4 SKHIE cb 20 12 'c'
0 4 SKHIE cc 20 12 'c'
0 5 SKHIE aa 20 12 'a'
0 5 SKHIE ab 20 12 'b'
0 5 SKHIE ac 20 12 'b'
0 5 SKHIE ba 20 12 'c'
0 5 SKHIE bb 20 12 'c'
0 5 SKHIE bc 20 12 'c'
0 5 SKHIE ca 20 12 'c'
0 5 SKHIE cb 20 12 'c'
0 5 SKHIE cc 20 12 'c'
0 6 SKHIE aa 20 12 'a'
0 6 SKHIE ab 20 12 'b'
0 6 SKHIE ac 20 12 'b'
0 6 SKHIE ba 20 12 'c'
0 6 SKHIE bb 20 12 'c'
0 6 SKHIE bc 20 12 'c'
0 6 SKHIE ca 20 12 'c'
0 6 SKHIE cb 20 12 'c'
0 6 SKHIE cc 20 12 'c'
0 7 SKHIE aa 20 12 'a'
0 7 SKHIE ab 20 12 'b'
0 7 SKHIE ac 20 12 'b'
0 7 SKHIE ba 20 12 'c'
0 7 SKHIE bb 20 12 'c'
0 7 SKHIE bc 20 12 'c'
0 7 SKHIE ca 20 12 'c'
0 7 SKHIE cb 20 12 'c'
0 7 SKHIE cc 20 12 'c'
0 8 SKHIE aa 20 12 'a'
0 8 SKHIE ab 20 12 'b'
0 8 SKHIE ac 20 12 'b'
0 8 SKHIE ba 20 12 'c'
0 8 SKHIE bb 20 12 'c'
0 8 SKHIE bc 20 12 'c'
0 8 SKHIE ca 20 12 'c'
0 8 SKHIE cb 20 12 'c'
0 8 SKHIE cc 20 12 'c'
0 9 SKHIE aa 20 12 'a'
0 9 SKHIE ab 20 12 'b'
0 9 SKHIE ac 20 12 'b'
0 9 SKHIE ba 20 12 'c'
0 9 SKHIE bb 20 12 'c'
0 9 SKHIE bc 20 12 'c'
0 9 SKHIE ca 20 12 'c'
0 9 SKHIE cb 20 12 'c'
0 9 SKHIE cc 20 12 'c'
0 10 SKHIE aa 20 12 'a'
0 10 SKHIE ab 20 12 'b'
0 10 SKHIE ac 20 12 'b'
0 10 SKHIE ba 20 12 'c'
0 10 SKHIE bb 20 12 'c'
0 10 SKHIE bc 20 12 'c'
0 10 SKHIE ca 20 12 'c'
0 10 SKHIE cb 20 12 'c'
0 10 SKHIE cc 20 12 'c'
0 11 SKHIE aa 20 12 'a'
0 11 SKHIE ab 20 12 'b'
0 11 SKHIE ac 20 12 'b'
0 11 SKHIE ba 20 12 'c'
0 11 SKHIE bb 20 12 'c'
0 11 SKHIE bc 20 12 'c'
0 11 SKHIE ca 20 12 'c'
0 11 SKHIE cb 20 12 'c'
0 11 SKHIE cc 20 12 'c'
0 12 SKHIE aa 20 12 'a'
0 12 SKHIE ab 20 12 'b'
0 12 SKHIE ac 20 12 'b'
0 12 SKHIE ba 20 12 'c'
0 12 SKHIE bb 20 12 'c'
0 12 SKHIE bc 20 12 'c'
0 12 SKHIE ca 20 12 'c'
0 12 SKHIE cb 20 12 'c'
0 12 SKHIE cc 20 12 'c'
0 13 SKHIE aa 20 12 'a'
0 13 SKHIE ab 20 12 'b'
0 13 SKHIE ac 20 12 'b'
0 13 SKHIE ba 20 12 'c'
0 13 SKHIE bb 20 12 'c'
0 13 SKHIE bc 20 12 'c'
0 13 SKHIE ca 20 12 'c'
0 13 SKHIE cb 20 12 'c'
0 13 SKHIE cc 20 12 'c'
0 14 SKHIE aa 20 12 'a'
0 14 SKHIE ab 20 12 'b'
0 14 SKHIE ac 20 12 'b'
0 14 SKHIE ba 20 12 'c'
0 14 SKHIE bb 20 12 'c'
0 14 SKHIE bc 20 12 'c'
0 14 SKHIE ca 20 12 'c'
0 14 SKHIE cb 20 12 'c'
0 14 SKHIE cc 20 12 'c'
0 15 SKHIE aa 20 12 'a'
0 15 SKHIE ab 20 12 'b'
0 15 SKHIE ac 20 12 'b'
0 15 SKHIE ba 20 12 'c'
0 15 SKHIE bb 20 12 'c'
0 15 SKHIE bc 20 12 'c'
0 15 SKHIE ca 20 12 'c'
0 15 SKHIE cb 20 12 'c'
0 15 SKHIE cc 20 12 'c'
0 16 SKHIE aa 20 12 'a'
0 16 SKHIE ab 20 12 'b'
0 16 SKHIE ac 20 12 'b'
0 16 SKHIE ba 20 12 'c'
0 16 SKHIE bb 20 12 'c'
0 16 SKHIE bc 20 12 'c'
0 16 SKHIE ca 20 12 'c'
0 16 SKHIE cb 20 12 'c'
0 16 SKHIE cc 20 12 'c'
0 17 SKHIE aa 20 12 'a'
0 17 SKHIE ab 20 12 'b'
0 17 SKHIE ac 20 12 'b'
0 17 SKHIE ba 20 12 'c'
0 17 SKHIE bb 20 12 'c'
0 17 SKHIE bc 20 12 'c'
0 17 SKHIE ca 20 12 'c'
0 17 SKHIE cb 20 12 'c'
0 17 SKHIE cc 20 12 'c'
0 18 SKHIE aa 20 12 'a'
0 18 SKHIE ab 20 12 'b'
0 18 SKHIE ac 20 12 'b'
0 18 SKHIE ba 20 12 'c'
0 18 SKHIE bb 20 12 'c'
0 18 SKHIE bc 20 12 'c'
0 18 SKHIE ca 20 12 'c'
0 18 SKHIE cb 20 12 'c'
0 18 SKHIE cc 20 12 'c'
0 19 SKHIE aa 20 12 'a'
0 19 SKHIE ab 20 12 'b'
0 19 SKHIE ac 20 12 'b'
0 19 SKHIE ba 20 12 'c'
0 19 SKHIE bb 20 12 'c'
0 19 SKHIE bc 20 12 'c'
0 19 SKHIE ca 20 12 'c'
0 19 SKHIE cb 20 12 'c'
0 19 SKHIE cc 20 12 'c'
0 20 SKHIE aa 20 12 'a'
0 20 SKHIE ab 20 12 'b'
0 20 SKHIE ac 20 12 'b'
0 20 SKHIE ba 20 12 'c'
0 20 SKHIE bb 20 12 'c'
0 20 SKHIE bc 20 12 'c'
0 20 SKHIE ca 20 12 'c'
0 20 SKHIE cb 20 12 'c'
0 20 SKHIE cc 20 12 'c'
0 21 SKHIE aa 20 12 'a'
0 21 SKHIE ab 20 12 'b'
0 21 SKHIE ac 20 12 'b'
0 21 SKHIE ba 20 12 'c'
0 21 SKHIE bb 20 12 'c'
0 21 SKHIE bc 20 12 'c'
0 21 SKHIE ca 20 12 'c'
0 21 SKHIE cb 20 12 'c'
0 21 SKHIE cc 20 12 'c'
0 22 SKHIE aa 20 12 'a'
0 22 SKHIE ab 20 12 'b'
0 22 SKHIE ac 20 12 'b'
0 22 SKHIE ba 20 12 'c'
0 22 SKHIE bb 20 12 'c'
0 22 SKHIE bc 20 12 'c'
0 22 SKHIE ca 20 12 'c'
0 22 SKHIE cb 20 12 'c'
0 22 SKHIE cc 20 12 'c'
0 23 SKHIE aa 20 12 'a'
0 23 SKHIE ab 20 12 'b'
0 23 SKHIE ac 20 12 'b'
