condition nsolution basis generalization length runtime answer
# Starting on: TSKHI
# Increasing depth to 0
# Increasing depth to 1
# Increasing depth to 2
# Increasing depth to 3
0 0 TSKHI aa 20 12 'a'
0 0 TSKHI ab 20 12 'b'
0 0 TSKHI ac 20 12 'b'
0 0 TSKHI ba 20 12 'c'
0 0 TSKHI bb 20 12 'c'
0 0 TSKHI bc 20 12 'c'
0 0 TSKHI ca 20 12 'c'
0 0 TSKHI cb 20 12 'c'
0 0 TSKHI cc 20 12 'c'
0 1 TSKHI aa 20 12 'a'
0 1 TSKHI ab 20 12 'b'
0 1 TSKHI ac 20 12 'b'
0 1 TSKHI ba 20 12 'c'
0 1 TSKHI bb 20 12 'c'
0 1 TSKHI bc 20 12 'c'
0 1 TSKHI ca 20 12 'c'
0 1 TSKHI cb 20 12 'c'
0 1 TSKHI cc 20 12 'c'
0 2 TSKHI aa 20 12 'a'
0 2 TSKHI ab 20 12 'b'
0 2 TSKHI ac 20 12 'b'
0 2 TSKHI ba 20 12 'c'
0 2 TSKHI bb 20 12 'c'
0 2 TSKHI bc 20 12 'c'
0 2 TSKHI ca 20 12 'c'
0 2 TSKHI cb 20 12 'c'
0 2 TSKHI cc 20 12 'c'
0 3 TSKHI aa 20 12 'a'
0 3 TSKHI ab 20 12 'b'
0 3 TSKHI ac 20 12 'b'
0 3 TSKHI ba 20 12 'c'
0 3 TSKHI bb 20 12 'c'
0 3 TSKHI bc 20 12 'c'
0 3 TSKHI ca 20 12 'c'
0 3 TSKHI cb 20 12 'c'
0 3 TSKHI cc 20 12 'c'
0 4 TSKHI aa 20 12 'a'
0 4 TSKHI ab 20 12 'b'
0 4 TSKHI ac 20 12 'b'
0 4 TSKHI ba 20 12 'c'
0 4 TSKHI bb 20 12 'c'
0 4 TSKHI bc 20 12 'c'
0 4 TSKHI ca 20 12 'c'
0 4 TSKHI cb 20 12 'c'
0 4 TSKHI cc 20 12 'c'
0 5 TSKHI aa 20 12 'a'
0 5 TSKHI ab 20 12 'b'
0 5 TSKHI ac 20 12 'b'
0 5 TSKHI ba 20 12 'c'
0 5 TSKHI bb 20 12 'c'
0 5 TSKHI bc 20 12 'c'
0 5 TSKHI ca 20 12 'c'
0 5 TSKHI cb 20 12 'c'
0 5 TSKHI cc 20 12 'c'
0 6 TSKHI aa 20 12 'a'
0 6 TSKHI ab 20 12 'b'
0 6 TSKHI ac 20 12 'b'
0 6 TSKHI ba 20 12 'c'
0 6 TSKHI bb 20 12 'c'
0 6 TSKHI bc 20 12 'c'
0 6 TSKHI ca 20 12 'c'
0 6 TSKHI cb 20 12 'c'
0 6 TSKHI cc 20 12 'c'
0 7 TSKHI aa 20 12 'a'
0 7 TSKHI ab 20 12 'b'
0 7 TSKHI ac 20 12 'b'
0 7 TSKHI ba 20 12 'c'
0 7 TSKHI bb 20 12 'c'
0 7 TSKHI bc 20 12 'c'
0 7 TSKHI ca 20 12 'c'
0 7 TSKHI cb 20 12 'c'
0 7 TSKHI cc 20 12 'c'
0 8 TSKHI aa 20 12 'a'
0 8 TSKHI ab 20 12 'b'
0 8 TSKHI ac 20 12 'b'
0 8 TSKHI ba 20 12 'c'
0 8 TSKHI bb 20 12 'c'
0 8 TSKHI bc 20 12 'c'
0 8 TSKHI ca 20 12 'c'
0 8 TSKHI cb 20 12 'c'
0 8 TSKHI cc 20 12 'c'
0 9 TSKHI aa 20 12 'a'
0 9 TSKHI ab 20 12 'b'
0 9 TSKHI ac 20 12 'b'
0 9 TSKHI ba 20 12 'c'
0 9 TSKHI bb 20 12 'c'
0 9 TSKHI bc 20 12 'c'
0 9 TSKHI ca 20 12 'c'
0 9 TSKHI cb 20 12 'c'
0 9 TSKHI cc 20 12 'c'
0 10 TSKHI aa 20 12 'a'
0 10 TSKHI ab 20 12 'b'
0 10 TSKHI ac 20 12 'b'
0 10 TSKHI ba 20 12 'c'
0 10 TSKHI bb 20 12 'c'
0 10 TSKHI bc 20 12 'c'
0 10 TSKHI ca 20 12 'c'
0 10 TSKHI cb 20 12 'c'
0 10 TSKHI cc 20 12 'c'
0 11 TSKHI aa 20 12 'a'
0 11 TSKHI ab 20 12 'b'
0 11 TSKHI ac 20 12 'b'
0 11 TSKHI ba 20 12 'c'
0 11 TSKHI bb 20 12 'c'
0 11 TSKHI bc 20 12 'c'
0 11 TSKHI ca 20 12 'c'
0 11 TSKHI cb 20 12 'c'
0 11 TSKHI cc 20 12 'c'
0 12 TSKHI aa 20 12 'a'
0 12 TSKHI ab 20 12 'b'
0 12 TSKHI ac 20 12 'b'
0 12 TSKHI ba 20 12 'c'
0 12 TSKHI bb 20 12 'c'
0 12 TSKHI bc 20 12 'c'
0 12 TSKHI ca 20 12 'c'
0 12 TSKHI cb 20 12 'c'
0 12 TSKHI cc 20 12 'c'
0 13 TSKHI aa 20 12 'a'
0 13 TSKHI ab 20 12 'b'
0 13 TSKHI ac 20 12 'b'
0 13 TSKHI ba 20 12 'c'
0 13 TSKHI bb 20 12 'c'
0 13 TSKHI bc 20 12 'c'
0 13 TSKHI ca 20 12 'c'
0 13 TSKHI cb 20 12 'c'
0 13 TSKHI cc 20 12 'c'
0 14 TSKHI aa 20 12 'a'
0 14 TSKHI ab 20 12 'b'
0 14 TSKHI ac 20 12 'b'
0 14 TSKHI ba 20 12 'c'
0 14 TSKHI bb 20 12 'c'
0 14 TSKHI bc 20 12 'c'
0 14 TSKHI ca 20 12 'c'
0 14 TSKHI cb 20 12 'c'
0 14 TSKHI cc 20 12 'c'
0 15 TSKHI aa 20 12 'a'
0 15 TSKHI ab 20 12 'b'
0 15 TSKHI ac 20 12 'b'
0 15 TSKHI ba 20 12 'c'
0 15 TSKHI bb 20 12 'c'
0 15 TSKHI bc 20 12 'c'
0 15 TSKHI ca 20 12 'c'
0 15 TSKHI cb 20 12 'c'
0 15 TSKHI cc 20 12 'c'
0 16 TSKHI aa 20 12 'a'
0 16 TSKHI ab 20 12 'b'
0 16 TSKHI ac 20 12 'b'
0 16 TSKHI ba 20 12 'c'
0 16 TSKHI bb 20 12 'c'
0 16 TSKHI bc 20 12 'c'
0 16 TSKHI ca 20 12 'c'
0 16 TSKHI cb 20 12 'c'
0 16 TSKHI cc 20 12 'c'
0 17 TSKHI aa 20 12 'a'
0 17 TSKHI ab 20 12 'b'
0 17 TSKHI ac 20 12 'b'
0 17 TSKHI ba 20 12 'c'
0 17 TSKHI bb 20 12 'c'
0 17 TSKHI bc 20 12 'c'
0 17 TSKHI ca 20 12 'c'
0 17 TSKHI cb 20 12 'c'
0 17 TSKHI cc 20 12 'c'
0 18 TSKHI aa 20 12 'a'
0 18 TSKHI ab 20 12 'b'
0 18 TSKHI ac 20 12 'b'
0 18 TSKHI ba 20 12 'c'
0 18 TSKHI bb 20 12 'c'
0 18 TSKHI bc 20 12 'c'
0 18 TSKHI ca 20 12 'c'
0 18 TSKHI cb 20 12 'c'
0 18 TSKHI cc 20 12 'c'
0 19 TSKHI aa 20 12 'a'
0 19 TSKHI ab 20 12 'b'
0 19 TSKHI ac 20 12 'b'
0 19 TSKHI ba 20 12 'c'
0 19 TSKHI bb 20 12 'c'
0 19 TSKHI bc 20 12 'c'
0 19 TSKHI ca 20 12 'c'
0 19 TSKHI cb 20 12 'c'
0 19 TSKHI cc 20 12 'c'
0 20 TSKHI aa 20 12 'a'
0 20 TSKHI ab 20 12 'b'
0 20 TSKHI ac 20 12 'b'
0 20 TSKHI ba 20 12 'c'
0 20 TSKHI bb 20 12 'c'
0 20 TSKHI bc 20 12 'c'
0 20 TSKHI ca 20 12 'c'
0 20 TSKHI cb 20 12 'c'
0 20 TSKHI cc 20 12 'c'
0 21 TSKHI aa 20 12 'a'
0 21 TSKHI ab 20 12 'b'
0 21 TSKHI ac 20 12 'b'
0 21 TSKHI ba 20 12 'c'
0 21 TSKHI bb 20 12 'c'
0 21 TSKHI bc 20 12 'c'
0 21 TSKHI ca 20 12 'c'
0 21 TSKHI cb 20 12 'c'
0 21 TSKHI cc 20 12 'c'
0 22 TSKHI aa 20 12 'a'
0 22 TSKHI ab 20 12 'b'
0 22 TSKHI ac 20 12 'b'
0 22 TSKHI ba 20 12 'c'
0 22 TSKHI bb 20 12 'c'
0 22 TSKHI bc 20 12 'c'
0 22 TSKHI ca 20 12 'c'
0 22 TSKHI cb 20 12 'c'
0 22 TSKHI cc 20 12 'c'
0 23 TSKHI aa 20 12 'a'
0 23 TSKHI ab 20 12 'b'
0 23 TSKHI ac 20 12 'b'
0 23 TSKHI ba 20 12 'c'
0 23 TSKHI bb 20 12 'c'
0 23 TSKHI bc 20 12 'c'
0 23 TSKHI ca 20 12 'c'
0 23 TSKHI cb 20 12 'c'
0 23 TSKHI cc 20 12 'c'
0 24 TSKHI aa 20 12 'a'
0 24 TSKHI ab 20 12 'b'
0 24 TSKHI ac 20 12 'b'
0 24 TSKHI ba 20 12 'c'
0 24 TSKHI bb 20 12 'c'
0 24 TSKHI bc 20 12 'c'
0 24 TSKHI ca 20 12 'c'
0 24 TSKHI cb 20 12 'c'
0 24 TSKHI cc 20 12 'c'
0 25 TSKHI aa 20 12 'a'
0 25 TSKHI ab 20 12 'b'
0 25 TSKHI ac 20 12 'b'
0 25 TSKHI ba 20 12 'c'
0 25 TSKHI bb 20 12 'c'
0 25 TSKHI bc 20 12 'c'
0 25 TSKHI ca 20 12 'c'
0 25 TSKHI cb 20 12 'c'
0 25 TSKHI cc 20 12 'c'
0 26 TSKHI aa 20 12 'a'
0 26 TSKHI ab 20 12 'b'
0 26 TSKHI ac 20 12 'b'
0 26 TSKHI ba 20 12 'c'
0 26 TSKHI bb 20 12 'c'
0 26 TSKHI bc 20 12 'c'
0 26 TSKHI ca 20 12 'c'
0 26 TSKHI cb 20 12 'c'
0 26 TSKHI cc 20 12 'c'
0 27 TSKHI aa 20 12 'a'
0 27 TSKHI ab 20 12 'b'
0 27 TSKHI ac 20 12 'b'
0 27 TSKHI ba 20 12 'c'
0 27 TSKHI bb 20 12 'c'
0 27 TSKHI bc 20 12 'c'
0 27 TSKHI ca 20 12 'c'
0 27 TSKHI cb 20 12 'c'
0 27 TSKHI cc 20 12 'c'
0 28 TSKHI aa 20 12 'a'
0 28 TSKHI ab 20 12 'b'
0 28 TSKHI ac 20 12 'b'
0 28 TSKHI ba 20 12 'c'
0 28 TSKHI bb 20 12 'c'
0 28 TSKHI bc 20 12 'c'
0 28 TSKHI ca 20 12 'c'
0 28 TSKHI cb 20 12 'c'
0 28 TSKHI cc 20 12 'c'
0 29 TSKHI aa 20 12 'a'
0 29 TSKHI ab 20 12 'b'
0 29 TSKHI ac 20 12 'b'
0 29 TSKHI ba 20 12 'c'
0 29 TSKHI bb 20 12 'c'
0 29 TSKHI bc 20 12 'c'
0 29 TSKHI ca 20 12 'c'
0 29 TSKHI cb 20 12 'c'
0 29 TSKHI cc 20 12 'c'
0 30 TSKHI aa 20 12 'a'
0 30 TSKHI ab 20 12 'b'
0 30 TSKHI ac 20 12 'b'
0 30 TSKHI ba 20 12 'c'
0 30 TSKHI bb 20 12 'c'
0 30 TSKHI bc 20 12 'c'
0 30 TSKHI ca 20 12 'c'
0 30 TSKHI cb 20 12 'c'
0 30 TSKHI cc 20 12 'c'
0 31 TSKHI aa 20 12 'a'
0 31 TSKHI ab 20 12 'b'
0 31 TSKHI ac 20 12 'b'
0 31 TSKHI ba 20 12 'c'
0 31 TSKHI bb 20 12 'c'
0 31 TSKHI bc 20 12 'c'
0 31 TSKHI ca 20 12 'c'
0 31 TSKHI cb 20 12 'c'
0 31 TSKHI cc 20 12 'c'
0 32 TSKHI aa 20 12 'a'
0 32 TSKHI ab 20 12 'b'
0 32 TSKHI ac 20 12 'b'
0 32 TSKHI ba 20 12 'c'
0 32 TSKHI bb 20 12 'c'
0 32 TSKHI bc 20 12 'c'
0 32 TSKHI ca 20 12 'c'
0 32 TSKHI cb 20 12 'c'
0 32 TSKHI cc 20 12 'c'
0 33 TSKHI aa 20 12 'a'
0 33 TSKHI ab 20 12 'b'
0 33 TSKHI ac 20 12 'b'
0 33 TSKHI ba 20 12 'c'
0 33 TSKHI bb 20 12 'c'
0 33 TSKHI bc 20 12 'c'
0 33 TSKHI ca 20 12 'c'
0 33 TSKHI cb 20 12 'c'
0 33 TSKHI cc 20 12 'c'
0 34 TSKHI aa 20 12 'a'
0 34 TSKHI ab 20 12 'b'
0 34 TSKHI ac 20 12 'b'
0 34 TSKHI ba 20 12 'c'
0 34 TSKHI bb 20 12 'c'
0 34 TSKHI bc 20 12 'c'
0 34 TSKHI ca 20 12 'c'
0 34 TSKHI cb 20 12 'c'
0 34 TSKHI cc 20 12 'c'
0 35 TSKHI aa 20 12 'a'
0 35 TSKHI ab 20 12 'b'
0 35 TSKHI ac 20 12 'b'
0 35 TSKHI ba 20 12 'c'
0 35 TSKHI bb 20 12 'c'
0 35 TSKHI bc 20 12 'c'
0 35 TSKHI ca 20 12 'c'
0 35 TSKHI cb 20 12 'c'
0 35 TSKHI cc 20 12 'c'
0 36 TSKHI aa 20 12 'a'
0 36 TSKHI ab 20 12 'b'
0 36 TSKHI ac 20 12 'b'
0 36 TSKHI ba 20 12 'c'
0 36 TSKHI bb 20 12 'c'
0 36 TSKHI bc 20 12 'c'
0 36 TSKHI ca 20 12 'c'
0 36 TSKHI cb 20 12 'c'
0 36 TSKHI cc 20 12 'c'
0 37 TSKHI aa 20 12 'a'
0 37 TSKHI ab 20 12 'b'
0 37 TSKHI ac 20 12 'b'
0 37 TSKHI ba 20 12 'c'
0 37 TSKHI bb 20 12 'c'
0 37 TSKHI bc 20 12 'c'
0 37 TSKHI ca 20 12 'c'
0 37 TSKHI cb 20 12 'c'
0 37 TSKHI cc 20 12 'c'
0 38 TSKHI aa 20 12 'a'
0 38 TSKHI ab 20 12 'b'
0 38 TSKHI ac 20 12 'b'
0 38 TSKHI ba 20 12 'c'
0 38 TSKHI bb 20 12 'c'
0 38 TSKHI bc 20 12 'c'
0 38 TSKHI ca 20 12 'c'
0 38 TSKHI cb 20 12 'c'
0 38 TSKHI cc 20 12 'c'
0 39 TSKHI aa 20 12 'a'
0 39 TSKHI ab 20 12 'b'
0 39 TSKHI ac 20 12 'b'
0 39 TSKHI ba 20 12 'c'
0 39 TSKHI bb 20 12 'c'
0 39 TSKHI bc 20 12 'c'
0 39 TSKHI ca 20 12 'c'
0 39 TSKHI cb 20 12 'c'
0 39 TSKHI cc 20 12 'c'
0 40 TSKHI aa 20 12 'a'
0 40 TSKHI ab 20 12 'b'
0 40 TSKHI ac 20 12 'b'
0 40 TSKHI ba 20 12 'c'
0 40 TSKHI bb 20 12 'c'
0 40 TSKHI bc 20 12 'c'
0 40 TSKHI ca 20 12 'c'
0 40 TSKHI cb 20 12 'c'
0 40 TSKHI cc 20 12 'c'
0 41 TSKHI aa 20 12 'a'
0 41 TSKHI ab 20 12 'b'
0 41 TSKHI ac 20 12 'b'
0 41 TSKHI ba 20 12 'c'
0 41 TSKHI bb 20 12 'c'
0 41 TSKHI bc 20 12 'c'
0 41 TSKHI ca 20 12 'c'
0 41 TSKHI cb 20 12 'c'
0 41 TSKHI cc 20 12 'c'
0 42 TSKHI aa 20 12 'a'
0 42 TSKHI ab 20 12 'b'
0 42 TSKHI ac 20 12 'b'
0 42 TSKHI ba 20 12 'c'
0 42 TSKHI bb 20 12 'c'
0 42 TSKHI bc 20 12 'c'
