condition nsolution basis generalization length runtime answer
# Starting on: TSKHIE
# Increasing depth to 0
# Increasing depth to 1
# Increasing depth to 2
# Increasing depth to 3
0 0 TSKHIE aa 20 12 'a'
0 0 TSKHIE ab 20 12 'b'
0 0 TSKHIE ac 20 12 'b'
0 0 TSKHIE ba 20 12 'c'
0 0 TSKHIE bb 20 12 'c'
0 0 TSKHIE bc 20 12 'c'
0 0 TSKHIE ca 20 12 'c'
0 0 TSKHIE cb 20 12 'c'
0 0 TSKHIE cc 20 12 'c'
0 1 TSKHIE aa 20 12 'a'
0 1 TSKHIE ab 20 12 'b'
0 1 TSKHIE ac 20 12 'b'
0 1 TSKHIE ba 20 12 'c'
0 1 TSKHIE bb 20 12 'c'
0 1 TSKHIE bc 20 12 'c'
0 1 TSKHIE ca 20 12 'c'
0 1 TSKHIE cb 20 12 'c'
0 1 TSKHIE cc 20 12 'c'
0 2 TSKHIE aa 20 12 'a'
0 2 TSKHIE ab 20 12 'b'
0 2 TSKHIE ac 20 12 'b'
0 2 TSKHIE ba 20 12 'c'
0 2 TSKHIE bb 20 12 'c'
0 2 TSKHIE bc 20 12 'c'
0 2 TSKHIE ca 20 12 'c'
0 2 TSKHIE cb 20 12 'c'
0 2 TSKHIE cc 20 12 'c'
0 3 TSKHIE aa 20 12 'a'
0 3 TSKHIE ab 20 12 'b'
0 3 TSKHIE ac 20 12 'b'
0 3 TSKHIE ba 20 12 'c'
0 3 TSKHIE bb 20 12 'c'
0 3 TSKHIE bc 20 12 'c'
0 3 TSKHIE ca 20 12 'c'
0 3 TSKHIE cb 20 12 'c'
0 3 TSKHIE cc 20 12 'c'
0 4 TSKHIE aa 20 12 'a'
0 4 TSKHIE ab 20 12 'b'
0 4 TSKHIE ac 20 12 'b'
0 4 TSKHIE ba 20 12 'c'
0 4 TSKHIE bb 20 12 'c'
0 4 TSKHIE bc 20 12 'c'
0 4 TSKHIE ca 20 12 'c'
0 4 TSKHIE cb 20 12 'c'
0 4 TSKHIE cc 20 12 'c'
0 5 TSKHIE aa 20 12 'a'
0 5 TSKHIE ab 20 12 'b'
0 5 TSKHIE ac 20 12 'b'
0 5 TSKHIE ba 20 12 'c'
0 5 TSKHIE bb 20 12 'c'
0 5 TSKHIE bc 20 12 'c'
0 5 TSKHIE ca 20 12 'c'
0 5 TSKHIE cb 20 12 'c'
0 5 TSKHIE cc 20 12 'c'
0 6 TSKHIE aa 20 12 'a'
0 6 TSKHIE ab 20 12 'b'
0 6 TSKHIE ac 20 12 'b'
0 6 TSKHIE ba 20 12 'c'
0 6 TSKHIE bb 20 12 'c'
0 6 TSKHIE bc 20 12 'c'
0 6 TSKHIE ca 20 12 'c'
0 6 TSKHIE cb 20 12 'c'
0 6 TSKHIE cc 20 12 'c'
0 7 TSKHIE aa 20 12 'a'
0 7 TSKHIE ab 20 12 'b'
0 7 TSKHIE ac 20 12 'b'
0 7 TSKHIE ba 20 12 'c'
0 7 TSKHIE bb 20 12 'c'
0 7 TSKHIE bc 20 12 'c'
0 7 TSKHIE ca 20 12 'c'
0 7 TSKHIE cb 20 12 'c'
0 7 TSKHIE cc 20 12 'c'
0 8 TSKHIE aa 20 12 'a'
0 8 TSKHIE ab 20 12 'b'
0 8 TSKHIE ac 20 12 'b'
0 8 TSKHIE ba 20 12 'c'
0 8 TSKHIE bb 20 12 'c'
0 8 TSKHIE bc 20 12 'c'
0 8 TSKHIE ca 20 12 'c'
0 8 TSKHIE cb 20 12 'c'
0 8 TSKHIE cc 20 12 'c'
0 9 TSKHIE aa 20 12 'a'
0 9 TSKHIE ab 20 12 'b'
0 9 TSKHIE ac 20 12 'b'
0 9 TSKHIE ba 20 12 'c'
0 9 TSKHIE bb 20 12 'c'
0 9 TSKHIE bc 20 12 'c'
0 9 TSKHIE ca 20 12 'c'
0 9 TSKHIE cb 20 12 'c'
0 9 TSKHIE cc 20 12 'c'
0 10 TSKHIE aa 20 12 'a'
0 10 TSKHIE ab 20 12 'b'
0 10 TSKHIE ac 20 12 'b'
0 10 TSKHIE ba 20 12 'c'
0 10 TSKHIE bb 20 12 'c'
0 10 TSKHIE bc 20 12 'c'
0 10 TSKHIE ca 20 12 'c'
0 10 TSKHIE cb 20 12 'c'
0 10 TSKHIE cc 20 12 'c'
0 11 TSKHIE aa 20 12 'a'
0 11 TSKHIE ab 20 12 'b'
0 11 TSKHIE ac 20 12 'b'
0 11 TSKHIE ba 20 12 'c'
0 11 TSKHIE bb 20 12 'c'
0 11 TSKHIE bc 20 12 'c'
0 11 TSKHIE ca 20 12 'c'
0 11 TSKHIE cb 20 12 'c'
0 11 TSKHIE cc 20 12 'c'
0 12 TSKHIE aa 20 12 'a'
0 12 TSKHIE ab 20 12 'b'
0 12 TSKHIE ac 20 12 'b'
0 12 TSKHIE ba 20 12 'c'
0 12 TSKHIE bb 20 12 'c'
0 12 TSKHIE bc 20 12 'c'
0 12 TSKHIE ca 20 12 'c'
0 12 TSKHIE cb 20 12 'c'
0 12 TSKHIE cc 20 12 'c'
0 13 TSKHIE aa 20 12 'a'
0 13 TSKHIE ab 20 12 'b'
0 13 TSKHIE ac 20 12 'b'
0 13 TSKHIE ba 20 12 'c'
0 13 TSKHIE bb 20 12 'c'
0 13 TSKHIE bc 20 12 'c'
0 13 TSKHIE ca 20 12 'c'
0 13 TSKHIE cb 20 12 'c'
0 13 TSKHIE cc 20 12 'c'
0 14 TSKHIE aa 20 12 'a'
0 14 TSKHIE ab 20 12 'b'
0 14 TSKHIE ac 20 12 'b'
0 14 TSKHIE ba 20 12 'c'
0 14 TSKHIE bb 20 12 'c'
0 14 TSKHIE bc 20 12 'c'
0 14 TSKHIE ca 20 12 'c'
0 14 TSKHIE cb 20 12 'c'
0 14 TSKHIE cc 20 12 'c'
0 15 TSKHIE aa 20 12 'a'
0 15 TSKHIE ab 20 12 'b'
0 15 TSKHIE ac 20 12 'b'
0 15 TSKHIE ba 20 12 'c'
0 15 TSKHIE bb 20 12 'c'
0 15 TSKHIE bc 20 12 'c'
0 15 TSKHIE ca 20 12 'c'
0 15 TSKHIE cb 20 12 'c'
0 15 TSKHIE cc 20 12 'c'
0 16 TSKHIE aa 20 12 'a'
0 16 TSKHIE ab 20 12 'b'
0 16 TSKHIE ac 20 12 'b'
0 16 TSKHIE ba 20 12 'c'
0 16 TSKHIE bb 20 12 'c'
0 16 TSKHIE bc 20 12 'c'
0 16 TSKHIE ca 20 12 'c'
0 16 TSKHIE cb 20 12 'c'
