"","WorkerID","Trial","TimeStamp","Condition","Argument1","Correct","ConditionID","Testarg1","Testarg2","Question","Response","ResponseImage","RT"
"7",11,8,1481306111572,"1"," static/images/o5.png"," static/images/o1.png"," Different"," static/images/o1.png"," static/images/o1.png"," b"," c"," static/images/o6.png",6072
"8",11,9,1481306115904,"1"," static/images/o5.png"," static/images/o1.png"," Different"," static/images/o5.png"," static/images/o5.png"," a"," b"," static/images/o1.png",3231
"9",11,10,1481306121819,"1"," static/images/o5.png"," static/images/o1.png"," Different"," static/images/o6.png"," static/images/o5.png"," c"," b"," static/images/o1.png",4588
"17",45,8,1481306146752,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o5.png"," static/images/o5.png"," a"," a"," static/images/o5.png",24053
"18",45,9,1481306162547,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o1.png"," static/images/o1.png"," b"," c"," static/images/o6.png",13529
"26",24,8,1481306241147,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o1.png"," static/images/o4.png"," c"," d"," static/images/o3.png",5508
"27",24,9,1481306245074,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," b"," static/images/o5.png",3400
"28",24,10,1481306249034,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," a"," static/images/o4.png",3553
"36",19,8,1481306276792,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o1.png"," static/images/o1.png"," a"," a"," static/images/o1.png",3167
"37",19,9,1481306286640,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o4.png"," static/images/o4.png"," b"," b"," static/images/o4.png",8784
"45",32,8,1481306356316,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o5.png"," static/images/o5.png"," a"," b"," static/images/o6.png",7546
"46",32,9,1481306360274,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o6.png"," static/images/o6.png"," b"," c"," static/images/o3.png",2313
"54",37,8,1481306346762,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o6.png",3962
"55",37,9,1481306350978,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o3.png"," static/images/o3.png"," a"," b"," static/images/o5.png",2968
"56",37,10,1481306355405,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o3.png"," c"," d"," static/images/o4.png",2439
"64",43,8,1481306401057,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o5.png"," static/images/o6.png"," c"," d"," static/images/o3.png",10936
"65",43,9,1481306407184,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o4.png",4488
"66",43,10,1481306412025,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o4.png"," static/images/o4.png"," b"," c"," static/images/o5.png",3376
"74",50,8,1481306349561,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o6.png"," static/images/o6.png"," b"," c"," static/images/o1.png",5997
"75",50,9,1481306353245,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",2475
"83",16,8,1481306454342,"1"," static/images/o4.png"," static/images/o3.png"," Different"," static/images/o3.png"," static/images/o3.png"," b"," d"," static/images/o6.png",3999
"84",16,9,1481306460367,"1"," static/images/o4.png"," static/images/o3.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," b"," static/images/o3.png",4579
"85",16,10,1481306463827,"1"," static/images/o4.png"," static/images/o3.png"," Different"," static/images/o5.png"," static/images/o4.png"," c"," d"," static/images/o6.png",2560
"93",1,8,1481306520177,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o1.png"," static/images/o1.png"," b"," b"," static/images/o1.png",1891
"94",1,9,1481306528025,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o3.png"," static/images/o3.png"," a"," a"," static/images/o3.png",6397
"102",31,8,1481306572604,"1"," static/images/o6.png"," static/images/o1.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o1.png",4261
"103",31,9,1481306588085,"1"," static/images/o6.png"," static/images/o1.png"," Different"," static/images/o1.png"," static/images/o1.png"," b"," a"," static/images/o6.png",14598
"104",31,10,1481306593539,"1"," static/images/o6.png"," static/images/o1.png"," Different"," static/images/o2.png"," static/images/o6.png"," c"," b"," static/images/o1.png",4663
"112",2,8,1481306864546,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o6.png"," static/images/o6.png"," a"," a"," static/images/o6.png",3816
"113",2,9,1481306869495,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",4058
"121",5,8,1481307101212,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o6.png"," static/images/o6.png"," b"," c"," static/images/o2.png",5736
"122",5,9,1481307110218,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o6.png",7119
"130",10,8,1481307097265,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o3.png",6975
"131",10,9,1481307105506,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o1.png"," static/images/o1.png"," a"," a"," static/images/o1.png",3986
"139",54,8,1481307067248,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," c"," static/images/o5.png",10679
"140",54,9,1481307072802,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o5.png"," static/images/o1.png"," c"," d"," static/images/o6.png",4331
"141",54,10,1481307078767,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o2.png",4585
"149",25,8,1481307145497,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o2.png"," static/images/o2.png"," b"," b"," static/images/o2.png",8237
"150",25,9,1481307147885,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o1.png"," static/images/o1.png"," a"," a"," static/images/o1.png",1889
"158",27,8,1481307357947,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o2.png",19593
"159",27,9,1481307369346,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o6.png"," static/images/o1.png"," c"," d"," static/images/o5.png",9972
"160",27,10,1481307376961,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," a"," static/images/o1.png",5727
"168",52,8,1481307131988,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",4068
"169",52,9,1481307135643,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o6.png"," static/images/o6.png"," b"," b"," static/images/o6.png",2248
"177",49,8,1481307446738,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o2.png",6118
"178",49,9,1481307463827,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," c"," static/images/o3.png",16271
"179",49,10,1481307472164,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o3.png"," static/images/o6.png"," c"," a"," static/images/o6.png",7585
"186",20,8,1481307514455,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o6.png",19466
"187",20,9,1481307520565,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," d"," static/images/o1.png",4919
