"","WorkerID","Trial","TimeStamp","Condition","ConditionID","Question","Response","RT"
"13055",86,8,1497471019149," 3"," Constant2","b","c"," 9276"
"13056",86,9,1497471028653," 3"," Constant2","a","c"," 6322"
"13057",86,10,1497471033737," 3"," Constant2","c","d"," 3867"
"13058",86,11,1497471037938," 3"," Constant2","d","e"," 3261"
"13066",295,8,1497471013706," 1"," Successor2","c","d"," 5128"
"13067",295,9,1497471019874," 1"," Successor2","a","b"," 5455"
"13068",295,10,1497471022449," 1"," Successor2","b","c"," 2007"
"13082",165,8,1497471122917," 2"," Constant1","b","d"," 12865"
"13083",165,9,1497471129955," 2"," Constant1","a","c"," 6268"
"13091",612,8,1497471111534," 3"," Constant2","d","d"," 12300"
"13092",612,9,1497471118425," 3"," Constant2","b","c"," 5408"
"13093",612,10,1497471124628," 3"," Constant2","c","e"," 5307"
"13094",612,11,1497471128305," 3"," Constant2","a","b"," 2810"
"13103",172,8,1497471088715," 0"," Successor1","a","b"," 2945"
"13104",172,9,1497471101353," 0"," Successor1","b","c"," 10841"
"13112",573,8,1497471094605," 1"," Successor2","c","d"," 3323"
"13113",573,9,1497471102104," 1"," Successor2","a","b"," 5828"
"13114",573,10,1497471105549," 1"," Successor2","b","c"," 2627"
"13122",460,8,1497471137386," 4"," Identity1","b","b"," 5303"
"13123",460,9,1497471142099," 4"," Identity1","a","a"," 2816"
"13131",390,8,1497471092004," 3"," Constant2","d","d"," 3149"
"13132",390,9,1497471098477," 3"," Constant2","c","c"," 4184"
"13133",390,10,1497471100958," 3"," Constant2","b","c"," 2128"
"13134",390,11,1497471103749," 3"," Constant2","a","c"," 1870"
"13142",276,8,1497471194431," 3"," Constant2","d","c"," 7497"
"13143",276,9,1497471200949," 3"," Constant2","c","a"," 5014"
"13144",276,10,1497471206071," 3"," Constant2","a","c"," 3857"
"13145",276,11,1497471209552," 3"," Constant2","b","c"," 2706"
"13153",617,8,1497471172523," 0"," Successor1","b","c"," 4748"
"13154",617,9,1497471177679," 0"," Successor1","a","b"," 4086"
"13162",124,8,1497471196407," 4"," Identity1","a","a"," 4206"
"13163",124,9,1497471201342," 4"," Identity1","b","c"," 4040"
"13171",133,8,1497471631972," 2"," Constant1","a","c"," 9747"
"13172",133,9,1497471643392," 2"," Constant1","b","a"," 9712"
"13180",448,8,1497471242951," 1"," Successor2","a","d"," 10163"
"13181",448,9,1497471253195," 1"," Successor2","c","d"," 8280"
"13182",448,10,1497471261096," 1"," Successor2","b","c"," 5063"
"13190",251,8,1497471188732," 0"," Successor1","a","c"," 8492"
"13191",251,9,1497471193242," 0"," Successor1","b","c"," 3881"
"13199",167,8,1497471292721," 4"," Identity1","a","b"," 16865"
"13200",167,9,1497471300581," 4"," Identity1","b","c"," 6616"
"13208",624,8,1497471334810," 2"," Constant1","a","c"," 6639"
"13209",624,9,1497471343834," 2"," Constant1","b","d"," 6848"
"13217",283,8,1497471281022," 1"," Successor2","a","b"," 6623"
"13218",283,9,1497471284343," 1"," Successor2","b","c"," 2113"
"13219",283,10,1497471287774," 1"," Successor2","c","d"," 2687"
"13227",616,8,1497471387639," 3"," Constant2","b","c"," 7902"
"13228",616,9,1497471395315," 3"," Constant2","a","c"," 4464"
"13229",616,10,1497471406455," 3"," Constant2","c","e"," 9025"
"13230",616,11,1497471412113," 3"," Constant2","d","c"," 4355"
"13238",337,8,1497471348266," 1"," Successor2","a","b"," 6095"
"13239",337,9,1497471352994," 1"," Successor2","c","d"," 3557"
"13240",337,10,1497471355834," 1"," Successor2","b","c"," 2136"
"13248",148,8,1497471440871," 2"," Constant1","b","d"," 13348"
"13249",148,9,1497471447439," 2"," Constant1","a","b"," 4375"
"13257",628,8,1497471434849," 0"," Successor1","a","b"," 3571"
"13258",628,9,1497471440177," 0"," Successor1","b","a"," 4066"
"13266",194,8,1497471433417," 3"," Constant2","c","e"," 6288"
"13267",194,9,1497471441126," 3"," Constant2","b","c"," 6448"
"13268",194,10,1497471446353," 3"," Constant2","a","c"," 3033"
"13269",194,11,1497471452950," 3"," Constant2","d","e"," 5745"
"13277",140,8,1497471541424," 4"," Identity1","b","b"," 4232"
"13278",140,9,1497471548486," 4"," Identity1","a","a"," 4576"
"13286",568,8,1497471389383," 0"," Successor1","a","b"," 7996"
"13287",568,9,1497471392317," 0"," Successor1","b","c"," 2196"
"13295",255,8,1497471510785," 1"," Successor2","a","b"," 35081"
"13296",255,9,1497471518205," 1"," Successor2","b","c"," 4971"
"13297",255,10,1497471522879," 1"," Successor2","c","d"," 2984"
"13305",111,8,1497471449810," 4"," Identity1","b","c"," 6954"
"13306",111,9,1497471456039," 4"," Identity1","a","a"," 4010"
"13314",20,8,1497471420452," 2"," Constant1","a","b"," 9712"
"13315",20,9,1497471425145," 2"," Constant1","b","d"," 3089"
"13323",232,8,1497471507194," 0"," Successor1","b","c"," 7658"
"13324",232,9,1497471511428," 0"," Successor1","a","b"," 3548"
"13332",207,8,1497471488242," 3"," Constant2","d","c"," 7313"
"13333",207,9,1497471496362," 3"," Constant2","a","c"," 6097"
"13334",207,10,1497471502223," 3"," Constant2","c","c"," 4432"
"13335",207,11,1497471505114," 3"," Constant2","b","c"," 1992"
"13343",648,8,1497471454784," 2"," Constant1","b","d"," 8391"
"13344",648,9,1497471466449," 2"," Constant1","a","d"," 10878"
"13352",150,8,1497471612417," 4"," Identity1","b","b"," 3743"
"13353",150,9,1497471615755," 4"," Identity1","a","a"," 2282"
"13361",335,8,1497471730533," 1"," Successor2","c","d"," 20118"
"13362",335,9,1497471743351," 1"," Successor2","b","c"," 10822"
"13363",335,10,1497471747912," 1"," Successor2","a","b"," 2770"
"13371",83,8,1497472043730," 1"," Successor2","b","c"," 17489"
"13372",83,9,1497472050230," 1"," Successor2","a","b"," 2786"
"13373",83,10,1497472066826," 1"," Successor2","c","d"," 14636"
"13381",528,8,1497471761531," 3"," Constant2","b","c"," 7222"
"13382",528,9,1497471766710," 3"," Constant2","a","c"," 3251"
"13383",528,10,1497471772998," 3"," Constant2","d","e"," 5482"
"13384",528,11,1497471783380," 3"," Constant2","c","e"," 9129"
"13392",641,8,1497471651085," 2"," Constant1","b","b"," 23027"
"13393",641,9,1497471658041," 2"," Constant1","a","a"," 2877"
"13401",293,8,1497472037206," 0"," Successor1","b","c"," 19541"
"13402",293,9,1497472057170," 0"," Successor1","a","c"," 15255"
"13410",80,8,1497471860543," 4"," Identity1","a","c"," 45244"
"13411",80,9,1497471872129," 4"," Identity1","b","c"," 6011"
"13419",38,8,1497471731929," 0"," Successor1","b","a"," 12437"
"13420",38,9,1497471734759," 0"," Successor1","a","b"," 2104"
"13428",30,8,1497471884446," 4"," Identity1","a","a"," 5311"
"13429",30,9,1497471890629," 4"," Identity1","b","b"," 4486"
"13437",509,8,1497471874070," 1"," Successor2","a","b"," 6488"
"13438",509,9,1497471879735," 1"," Successor2","b","b"," 4444"
"13439",509,10,1497471894286," 1"," Successor2","c","d"," 6778"
"13447",597,8,1497471650335," 2"," Constant1","a","c"," 11452"
"13448",597,9,1497471663952," 2"," Constant1","b","a"," 10486"
"13456",308,8,1497471984633," 3"," Constant2","d","e"," 14080"
"13457",308,9,1497471997318," 3"," Constant2","c","b"," 11687"
"13458",308,10,1497472011472," 3"," Constant2","b","c"," 13488"
"13459",308,11,1497472021171," 3"," Constant2","a","c"," 9039"
"13467",311,8,1497472194528," 3"," Constant2","d","e"," 9033"
"13468",311,9,1497472204106," 3"," Constant2","c","d"," 7124"
"13469",311,10,1497472208736," 3"," Constant2","a","c"," 3466"
"13470",311,11,1497472214513," 3"," Constant2","b","a"," 4169"
"13478",274,8,1497472066496," 1"," Successor2","c","d"," 9642"
"13479",274,9,1497472071084," 1"," Successor2","a","b"," 2974"
"13480",274,10,1497472076663," 1"," Successor2","b","c"," 4220"
"13488",342,8,1497472122266," 0"," Successor1","b","c"," 4608"
"13489",342,9,1497472127456," 0"," Successor1","a","b"," 4325"
"13497",452,8,1497472139859," 2"," Constant1","a","b"," 4958"
"13498",452,9,1497472146613," 2"," Constant1","b","d"," 5014"
"13506",227,8,1497472192867," 4"," Identity1","a","a"," 9687"
"13507",227,9,1497472197545," 4"," Identity1","b","b"," 2854"
"13515",600,8,1497472234388," 1"," Successor2","c","b"," 6320"
"13516",600,9,1497472244915," 1"," Successor2","a","d"," 4218"
"13517",600,10,1497472248303," 1"," Successor2","b","c"," 1932"
"13525",175,8,1497472395822," 2"," Constant1","b","c"," 10789"
"13526",175,9,1497472404984," 2"," Constant1","a","c"," 6644"
"13534",126,8,1497472341323," 0"," Successor1","a","c"," 2983"
"13535",126,9,1497472347507," 0"," Successor1","b","c"," 4782"
"13543",554,8,1497472443120," 3"," Constant2","c","e"," 83564"
"13544",554,9,1497472451476," 3"," Constant2","a","b"," 6486"
"13545",554,10,1497472456732," 3"," Constant2","d","c"," 3959"
"13546",554,11,1497472465359," 3"," Constant2","b","d"," 7898"
"13554",391,8,1497472336831," 4"," Identity1","b","c"," 7920"
"13555",391,9,1497472340683," 4"," Identity1","a","a"," 2561"
"13562",433,8,1497472395370," 0"," Successor1","a","b"," 3955"
"13563",433,9,1497472404819," 0"," Successor1","b","c"," 4761"
"13571",647,8,1497472545283," 1"," Successor2","a","a"," 14871"
"13572",647,9,1497472550991," 1"," Successor2","b","c"," 4201"
"13573",647,10,1497472556119," 1"," Successor2","c","a"," 4026"
"13581",417,8,1497472564157," 3"," Constant2","d","e"," 8528"
"13582",417,9,1497472575221," 3"," Constant2","c","d"," 8870"
"13583",417,10,1497472581321," 3"," Constant2","b","c"," 4979"
"13584",417,11,1497472587737," 3"," Constant2","a","c"," 3344"
"13592",363,8,1497472511274," 4"," Identity1","a","b"," 5885"
"13593",363,9,1497472521418," 4"," Identity1","b","c"," 8496"
"13601",317,8,1497472881050," 2"," Constant1","b","d"," 11373"
"13602",317,9,1497472902550," 2"," Constant1","a","c"," 16916"
"13610",516,8,1497472574334," 0"," Successor1","b","c"," 10631"
"13611",516,9,1497472584442," 0"," Successor1","a","c"," 4026"
"13619",526,8,1497472682080," 1"," Successor2","b","c"," 13495"
"13620",526,9,1497472693751," 1"," Successor2","c","d"," 9376"
"13621",526,10,1497472703974," 1"," Successor2","a","b"," 7999"
"13629",645,8,1497472693256," 3"," Constant2","a","c"," 4065"
"13630",645,9,1497472696562," 3"," Constant2","b","c"," 2346"
"13631",645,10,1497472703098," 3"," Constant2","d","e"," 4985"
"13632",645,11,1497472707793," 3"," Constant2","c","d"," 3500"
"13646",131,8,1497472840181," 1"," Successor2","c","d"," 4851"
"13647",131,9,1497472847526," 1"," Successor2","b","d"," 5899"
"13648",131,10,1497472851622," 1"," Successor2","a","b"," 3177"
"13656",136,8,1497472858014," 0"," Successor1","b","a"," 6846"
"13657",136,9,1497472866809," 0"," Successor1","a","b"," 7594"
"13665",221,8,1497473060505," 0"," Successor1","b","c"," 28899"
"13666",221,9,1497473075216," 0"," Successor1","a","b"," 13186"
"13674",186,8,1497473045925," 4"," Identity1","a","c"," 10159"
"13675",186,9,1497473053884," 4"," Identity1","b","a"," 5922"
"13683",6,8,1497473091422," 3"," Constant2","c","b"," 11598"
"13684",6,9,1497473096695," 3"," Constant2","b","c"," 4750"
"13685",6,10,1497473102001," 3"," Constant2","a","c"," 3523"
"13686",6,11,1497473109195," 3"," Constant2","d","c"," 6333"
"13700",510,8,1497473208772," 0"," Successor1","a","b"," 4305"
"13701",510,9,1497473216482," 0"," Successor1","b","c"," 5227"
"13709",551,8,1497473100635," 4"," Identity1","a","a"," 4106"
"13710",551,9,1497473105474," 4"," Identity1","b","b"," 3516"
"13718",468,8,1497473141680," 2"," Constant1","b","b"," 6108"
"13719",468,9,1497473150043," 2"," Constant1","a","a"," 4547"
"13727",534,8,1497473248598," 3"," Constant2","b","c"," 35474"
"13728",534,9,1497473252828," 3"," Constant2","c","c"," 3257"
"13729",534,10,1497473255078," 3"," Constant2","a","a"," 1649"
"13730",534,11,1497473259388," 3"," Constant2","d","d"," 3773"
"13738",627,8,1497473398055," 1"," Successor2","b","d"," 6516"
"13739",627,9,1497473405577," 1"," Successor2","a","b"," 4312"
