"","Response","Question","Proportion","Condition","Frequency"
"1","a","a",0,0,0
"2","b","a",0.819277108433735,0,68
"3","c","a",0.180722891566265,0,15
"4","d","a",0,0,0
"5","e","a",0,0,0
"6","a","b",0.253012048192771,0,21
"7","b","b",0.0481927710843374,0,4
"8","c","b",0.698795180722892,0,58
"9","d","b",0,0,0
"10","e","b",0,0,0
"11","a","c",NA,0,0
"12","b","c",NA,0,0
"13","c","c",NA,0,0
"14","d","c",NA,0,0
"15","e","c",NA,0,0
"16","a","d",NA,0,0
"17","b","d",NA,0,0
"18","c","d",NA,0,0
"19","d","d",NA,0,0
"20","e","d",NA,0,0
"21","a","a",0.0240963855421687,1,2
"22","b","a",0.843373493975904,1,70
"23","c","a",0.0240963855421687,1,2
"24","d","a",0.108433734939759,1,9
"25","e","a",0,1,0
"26","a","b",0.036144578313253,1,3
"27","b","b",0.036144578313253,1,3
"28","c","b",0.783132530120482,1,65
"29","d","b",0.144578313253012,1,12
"30","e","b",0,1,0
"31","a","c",0.072289156626506,1,6
"32","b","c",0.072289156626506,1,6
"33","c","c",0.036144578313253,1,3
"34","d","c",0.819277108433735,1,68
"35","e","c",0,1,0
"36","a","d",NA,1,0
"37","b","d",NA,1,0
"38","c","d",NA,1,0
"39","d","d",NA,1,0
"40","e","d",NA,1,0
"41","a","a",0.0609756097560976,2,5
"42","b","a",0.134146341463415,2,11
"43","c","a",0.719512195121951,2,59
"44","d","a",0.0853658536585366,2,7
"45","e","a",0,2,0
"46","a","b",0.170731707317073,2,14
"47","b","b",0.0853658536585366,2,7
"48","c","b",0.0731707317073171,2,6
"49","d","b",0.670731707317073,2,55
"50","e","b",0,2,0
"51","a","c",NA,2,0
"52","b","c",NA,2,0
"53","c","c",NA,2,0
"54","d","c",NA,2,0
"55","e","c",NA,2,0
"56","a","d",NA,2,0
"57","b","d",NA,2,0
"58","c","d",NA,2,0
"59","d","d",NA,2,0
"60","e","d",NA,2,0
"61","a","a",0.0238095238095238,3,2
"62","b","a",0.0357142857142857,3,3
"63","c","a",0.869047619047619,3,73
"64","d","a",0.0119047619047619,3,1
"65","e","a",0.0595238095238095,3,5
"66","a","b",0.0357142857142857,3,3
"67","b","b",0.0357142857142857,3,3
"68","c","b",0.869047619047619,3,73
"69","d","b",0.0238095238095238,3,2
"70","e","b",0.0357142857142857,3,3
"71","a","c",0.0952380952380952,3,8
"72","b","c",0.142857142857143,3,12
"73","c","c",0.119047619047619,3,10
"74","d","c",0.345238095238095,3,29
"75","e","c",0.297619047619048,3,25
"76","a","d",0.0952380952380952,3,8
"77","b","d",0.0357142857142857,3,3
"78","c","d",0.392857142857143,3,33
"79","d","d",0.0714285714285714,3,6
"80","e","d",0.404761904761905,3,34
"81","a","a",0.768292682926829,4,63
"82","b","a",0.109756097560976,4,9
"83","c","a",0.121951219512195,4,10
"84","d","a",0,4,0
"85","e","a",0,4,0
"86","a","b",0.0609756097560976,4,5
"87","b","b",0.609756097560976,4,50
"88","c","b",0.329268292682927,4,27
"89","d","b",0,4,0
"90","e","b",0,4,0
"91","a","c",NA,4,0
"92","b","c",NA,4,0
"93","c","c",NA,4,0
"94","d","c",NA,4,0
"95","e","c",NA,4,0
"96","a","d",NA,4,0
"97","b","d",NA,4,0
"98","c","d",NA,4,0
"99","d","d",NA,4,0
"100","e","d",NA,4,0
"101","a","a",0.893333333333333,5,67
"102","b","a",0,5,0
"103","c","a",0.04,5,3
"104","d","a",0.0666666666666667,5,5
"105","e","a",0,5,0
"106","a","b",0.0133333333333333,5,1
"107","b","b",0.906666666666667,5,68
"108","c","b",0.0666666666666667,5,5
"109","d","b",0.0133333333333333,5,1
"110","e","b",0,5,0
"111","a","c",0.0533333333333333,5,4
"112","b","c",0.0266666666666667,5,2
"113","c","c",0.866666666666667,5,65
"114","d","c",0.0533333333333333,5,4
"115","e","c",0,5,0
"116","a","d",NA,5,0
"117","b","d",NA,5,0
"118","c","d",NA,5,0
"119","d","d",NA,5,0
"120","e","d",NA,5,0
"121","a","a",0.0116279069767442,6,1
"122","b","a",0.86046511627907,6,74
"123","c","a",0.127906976744186,6,11
"124","d","a",0,6,0
"125","e","a",0,6,0
"126","a","b",0.313953488372093,6,27
"127","b","b",0.0581395348837209,6,5
"128","c","b",0.627906976744186,6,54
"129","d","b",0,6,0
"130","e","b",0,6,0
"131","a","c",NA,6,0
"132","b","c",NA,6,0
"133","c","c",NA,6,0
"134","d","c",NA,6,0
"135","e","c",NA,6,0
"136","a","d",NA,6,0
"137","b","d",NA,6,0
"138","c","d",NA,6,0
"139","d","d",NA,6,0
"140","e","d",NA,6,0
"141","a","a",0.0126582278481013,7,1
"142","b","a",0.89873417721519,7,71
"143","c","a",0.0506329113924051,7,4
"144","d","a",0.0379746835443038,7,3
"145","e","a",0,7,0
"146","a","b",0.9125,7,73
"147","b","b",0.0375,7,3
"148","c","b",0.025,7,2
"149","d","b",0.025,7,2
"150","e","b",0,7,0
"151","a","c",0.05,7,4
"152","b","c",0.075,7,6
"153","c","c",0.025,7,2
"154","d","c",0.85,7,68
"155","e","c",0,7,0
"156","a","d",NA,7,0
"157","b","d",NA,7,0
"158","c","d",NA,7,0
"159","d","d",NA,7,0
"160","e","d",NA,7,0
